mechanism,eps,n_users,accuracy
piecewise_sub,2.0,67,0.02597248134328358
piecewise_sub,2.0,68,0.02553998161764706
piecewise_sub,2.0,69,0.025183423913043478
piecewise_sub,2.0,70,0.024651785714285713
piecewise_sub,2.0,71,0.02426056338028169
piecewise_sub,4.0,1,1.0
piecewise_sub,4.0,2,0.81625
piecewise_sub,4.0,3,0.72328125
piecewise_sub,4.0,4,0.624140625
piecewise_sub,4.0,5,0.5579375
piecewise_sub,4.0,6,0.50171875
piecewise_sub,4.0,7,0.4506919642857143
piecewise_sub,4.0,8,0.41162109375
piecewise_sub,4.0,9,0.3772743055555556
piecewise_sub,4.0,10,0.342296875
piecewise_sub,4.0,11,0.31451704545454545
piecewise_sub,4.0,12,0.29723958333333333
piecewise_sub,4.0,13,0.2740985576923077
piecewise_sub,4.0,14,0.2600892857142857
piecewise_sub,4.0,15,0.24891666666666667
piecewise_sub,4.0,16,0.2337890625
piecewise_sub,4.0,17,0.22139705882352942
piecewise_sub,4.0,18,0.211953125
piecewise_sub,4.0,19,0.20203947368421052
piecewise_sub,4.0,20,0.1931328125
